id,word,pronounciation,english_meaning,vietnamese_meaning,synonyms,example
61,norm,/nɔːrm/,"standards of behaviour that are typical of or accepted within a particular group or society (quy tắc, tiêu chuẩn, thông lệ)",&nbsp;,,a departure from the norm Older parents seem to be the norm rather than the exception nowadays.
62,peer,&nbsp;/pɪr/,"a person who is the same age or who has the same social status as you (bạn cùng trang lứa, người cùng địa vị xã hội, người ngang hàng)",&nbsp;,,She enjoys the respect of her peers. A peer review system is being introduced to help teachers who are experiencing difficulty. Children are worried about failing in front of their peers.
63,pressure,/ˈpreʃər/,difficulties and feelings of anxiety that are caused by the need to achieve or to behave in a particular way áp lực),,,She was unable to attend because of the pressure of work. You need to be able to handle pressure in this job.
64,segment,/ˈseɡmənt/,"a part of something that is separate from the other parts or can be considered separately (đoạn, khúc, đốt, miếng, phần, phân khúc)",&nbsp;,,She cleaned a small segment of the painting. Lines divided the area into segments. The changes will affect only a small segment of the population. They divided the bone into equal segments.
65,standard,/ˈstændərd/,"a level of quality, especially one that people think is acceptable",tiêu chuẩn,,a fall in academic standards We aim to maintain high standards of customer care. The standard of this year's applications is very low.
66,status,/ˈsteɪtəs/&nbsp;,the situation at a particular time during a process,"tình trạng, trạng thái",,What is the current status of our application for funds? She updated her Facebook status to ‘in a relationship’.
67,anti-social,/ˌæntiˈsoʊʃl/,harmful to society often avoiding spending time with other people hay xa lánh người khác,có hại cho xã hội,,"Increasingly, smoking is regarded as an antisocial habit. They'll think you're being antisocial if you don't go"
68,conservative,&nbsp;/kənˈsɜːrvətɪv/,opposed to great or sudden social change; showing that you prefer traditional styles and values,"bảo thủ, thủ cựu",,a conservative society/outlook Older people tend to be more conservative and a bit suspicious of anything new.
69,conventional,/kənˈvenʃənl/,ending to follow what is done or considered acceptable by society in general,"theo tập quán, theo tục lệ, theo tiêu chuẩn thông thường",,conventional behaviour/morality She's very conventional in her views.
70,harmonious,/hɑːrˈmoʊniəs/,"arranged together in a pleasing way so that each part goes well with the others (of relationships, etc.) friendly, peaceful and without any disagreement (hòa thuận, hòa hợp)","hài hòa, cân đối",,a harmonious combination of colours a harmonious alliance between management and workers
71,influential,&nbsp;/ˌɪnfluˈenʃl/,having a lot of influence on somebody/something,"có tầm ảnh hưởng lớn, có uy thế, có tiếng nói",,She is one of the most influential figures in local politics. The committee was influential in formulating government policy on employment.
72,multicultural,/ˌmʌltiˈkʌltʃərəl/&nbsp;,"for or including people of several different races, religions, languages and traditions",thuộc nhiều lãnh vực văn hoá khác nhau,,We live in a multicultural society. a multicultural approach to education
73,suburban,/səˈbɜːrbən/,in or connected with a suburb,liên quan đến vùng ngoại ô,,suburban areas a suburban street life in suburban London
74,unconventional,&nbsp;/ˌʌnkənˈvenʃənl/,not following what is done or considered normal or acceptable by most people; different and interesting,"không theo quy ước, trái với thói thường, độc đáo",,an unconventional approach to the problem unconventional views The magazine describes him as having unconventional good looks.
75,follow accepted behaviour,,,tuân theo hành vi được cho phép,,
76,conform,/kənˈfɔːrm/,to behave and think in the same way as most other people in a group or society,"làm theo, tuân theo, y theo, chiếu theo",,"He refused to conform to the local customs. At our school, you were required to conform, and there was no place for originality."
77,exclude,/ɪkˈskluːd/&nbsp;,to deliberately not include something in what you are doing or considering,"loại trừ, ngăn chặn, không bao gồm cái gì đó",,"Tom has been excluded from school (= he is not allowed to go to school) for bad behaviour. Try excluding fat from your diet. Buses run every hour, Sundays excluded."
78,flaunt,/flɔːnt/&nbsp;,"to show something you are proud of to other people, in order to impress them","khoe khoang, phô trương, chưng diện",,He did not believe in flaunting his wealth. She openly flaunted her affair with the senator. He's got a lot of money but he doesn't flaunt it.
79,obey,/əˈbeɪ/,to do what you are told or expected to do,"vâng lời, nghe lời, tuân theo, tuân lệnh",,to obey a command/an order/rules/the law He had always obeyed his parents without question.
80,skew,/skjuː/,"to change or influence something with the result that it is not accurate, fair, normal, etc.","gây ảnh hưởng, bóp méo, xuyên tạc",,to skew the statistics These last-minute changes have skewed the company's results.
81,capsule,/ˈkæpsl/,a small container with medicine inside that you swallow,viên thuốc con nhộng,,The medicine can be taken in tablet or capsule form. Take two 30ml capsules a day.
82,carbon dioxide,/ˌkɑːrbən daɪˈɑːksaɪd/,a gas breathed out by people and animals from the lungs or produced by burning carbon,"khí cacbonic, khí CO2",,Plants absorb carbon dioxide during photosynthesis. The increased use of natural gas will help reduce carbon dioxide emissions. There has been a sudden and worrying rise in the level of carbon dioxide in the atmosphere.
83,compound,/ˈkɑːmpaʊnd/&nbsp;,a substance formed by a chemical reaction of two or more elements in fixed amounts relative to each other,hợp chất,,Common salt is a compound of sodium and chlorine. Many fertilizers contain nitrogen compounds.
84,consequence,/ˈkɑːnsəkwens/,"a result of something that has happened (hậu quả, hệ quả, kết quả)",&nbsp;,,"This decision could have serious consequences for the industry. I told the hairdresser to do what she wanted to my hair, and look at the consequences!"
85,dose,&nbsp;/doʊs/,"an amount of a medicine or a drug that is taken once, or regularly over a period of time","liều lượng, liều thuốc",,a high/low dose a dose of penicillin Take a single dose at bedtime to help you sleep. I always take my daily dose of vitamin C.
86,emission,/iˈmɪʃn/,"gas, etc. that is sent out into the air",khí thải,,The government has pledged to clean up industrial emissions. We must take action to cut vehicle emissions.
87,exposure,&nbsp;/ɪkˈspoʊʒər/,the fact of experiencing something or being affected by it because of being in a particular situation or place,sự tiếp xúc trực tiếp với cái gì đấy,,"According to received wisdom, exposure to low level radioactivity is harmless. She gradually became deaf after lengthy exposure to noise in the workplace."
88,food chain,/ˈfuːd ˌtʃeɪn/,a series of living things that are connected because each group of things eats the group below it in the chain,chuỗi thức ăn,,"Insects are fairly low down (on) the food chain. Pesticides work their way up the food chain from plants, through insects and birds to humans."
89,infection,/ɪnˈfekʃn/,the act or process of causing or getting a disease,"sự lây nhiễm, sự nhiễm trùng",,to be exposed to infection to increase the risk of infection
90,pesticide,/ˈpestɪsaɪd/,"a chemical used for killing pests, especially insects",thuốc trừ sâu bọ hại nông sản,,vegetables grown without the use of pesticides crops sprayed with pesticide
91,protein,/ˈproʊtiːn/,"one of the many substances found in food such as meat, cheese, fish, or eggs, that is necessary for the body to grow and be strong",,,Meat and fish are a vital source of protein.
92,reaction,/riˈækʃn/,,"phản ứng (về thái độ, hoặc về hóa học",,I love to watch people's reactions when I say who I am. The proposal has received a generally favourable reaction. Some people have an allergic reaction to shellfish.
93,side effect,/ˈsaɪd ɪˌfekt/,"tác dụng phụ, tác dụng không mong muốn",,,The drug has few side effects. Opponents of the policy fear that it could have unfortunate side effects on the economy.
94,bacterial,/bækˈtɪriəl/,"caused by or connected with bacteria (liên quan đến vi khuẩn, vi trùng)",&nbsp;,,a bacterial infection bacterial contamination/growth
95,contagious,/kənˈteɪdʒəs/,a co_______us disease spreads by people touching each other (có khả năng lây lan),&nbsp;,,"Scarlet fever is highly contagious. The infection is highly contagious, so don't let anyone else use your towel."
96,contaminated,/kənˈtæm.ə.neɪ.t̬ɪd/,to be dirty or poisonous,"bị bẩn, bị ô uế",,The infection was probably caused by swimming in contaminated water/water contaminated with sewage.
97,controversial,/ˌkɑːntrəˈvɜːrʃl/&nbsp;,causing a lot of angry public discussion and disagreement,gây tranh cãi,,a highly controversial topic They hold widely divergent opinions on controversial issues like abortion.
98,crucial,&nbsp;/ˈkruːʃl/&nbsp;,"extremely important, because it will affect other things","có tính chất quyết định, cốt yếu",,Winning this contract is crucial to the success of the company. topics of crucial importance
99,essential,&nbsp;/ɪˈsenʃl/,completely necessary; extremely important in a particular situation or for a particular activity,"cần thiết, thiết yếu, cốt yếu, chủ yếu",,"Water is essential for/to living things. essential services such as gas, water and electricity"
100,natural,/ˈnætʃrəl/,,"tự nhiên, tất nhiên",,"natural disasters the natural world (= of trees, rivers, animals and birds) She was the natural choice for the job."
101,organic,/ɔːrˈɡænɪk/,produced by or from living things,"hữu cơ, tự nhiên, không phải do con người tổng hợp",,Improve the soil by adding organic matter. organic compounds
102,petrochemical,/ˌpetroʊˈkemɪkl/,any chemical substance obtained from petroleum oil or natural gas,"chất hoá dầu, sản phẩm hoá dầu",,the petrochemical industry
103,absorb,/əbˈzɔːrb/,"to take in a liquid, gas or other substance from the surface or space around (hấp thụ)",&nbsp;,,Plants absorb carbon dioxide from the air. Let the rice cook until it has absorbed all the water.
104,contaminate,&nbsp;/kənˈtæmɪneɪt/&nbsp;,to make a substance or place dirty or no longer pure by adding a substance that is dangerous or carries disease,"làm bẩn, làm ô uế",,The drinking water has become contaminated with lead. a river contaminated by pollution
105,release,&nbsp;/rɪˈliːs/,,giải phóng,,He was released from prison after serving two years of a five-year sentence.
106,apprenticeship,&nbsp;/əˈprentɪʃɪp/,a period of time working as an apprentice; a job as an apprentice,"sự học việc, sư học nghề; thời gian học việc, thời gian học nghề",,She was in the second year of her apprenticeship as a carpenter. He had served his apprenticeship as a plumber. Apprenticeships were becoming more difficult to find.
107,conceptualize,/kənˈseptʃuəlaɪz/&nbsp;,to form an idea of something in your mind,hình dung về một cái gì đấy,,These people do not conceptualize hunting as a violent act. Try to conceptualize thought processes as a series of circles.
108,consistency,/kənˈsɪstənsi/,"the quality of always behaving in the same way or of having the same opinions, standard, etc.","sự&nbsp;kiên định, tính trước sau như một; tính nhất quán",,She has played with great consistency all season. We need to ensure the consistency of service to our customers.
109,establishment,&nbsp;/ɪˈstæblɪʃmənt/,the act of starting or creating something that is meant to last for a long time,"sự thành lập, sự thiết lập, sự kiến lập",,The speaker announced the establishment of a new college. the establishment of diplomatic relations between the countries
110,formulation,/ˌfɔːrmjuˈleɪʃn/,the activity of creating or preparing something,"sự tạo thành, sự hình thành",,the formulation of new policies new formulations of existing drugs
111,hypothesis,&nbsp;/haɪˈpɑːθəsɪs/&nbsp;,,giả thuyết,,to formulate/confirm a hypothesis a hypothesis about the function of dreams There is little evidence to support these hypotheses.
112,inconsistency,/ˌɪnkənˈsɪstənsi/,a situation in which two things do not match and are opposed,"sự mâu thuẫn, sự trái nhau; sự không trước sau như một",,There is some inconsistency between the witnesses' evidence and their earlier statements. I noticed a few minor inconsistencies in her argument.
113,insignificance,/ˌɪnsɪɡˈnɪfɪkəns/,the fact of not being big or valuable enough to be considered important,"sự không quan trọng, sự tầm thường",,The traumas of my own upbringing pale/fade into insignificance (= seem very unimportant) when I hear stories about the way Peter's parents treated him.
114,technician,/tekˈnɪʃn/,"a worker trained with special skills, especially in science or engineering",người có chuyên môn về kỹ thuật,,laboratory technicians a computer support technician a need to train technicians in computer aided engineering
115,theorist,&nbsp;/ˈθiːərɪst/,someone who develops ideas about the explanation for events,nhà lý luận,,"a political theorist Listening to these theorists, you might conclude that the entire world is poised to adopt market economies and democratic government."
116,vocation,/voʊˈkeɪʃn/&nbsp;,a type of work or way of life that you believe is especially suitable for you,thiên hướng nghề nghiệp,,She believes that she has found her true vocation in life. You missed your vocation—you should have been an actor.
117,analytical,/ˌænəˈlɪtɪkl/&nbsp;,"using a logical method of thinking about something in order to understand it, especially by looking at all the parts separately",dùng phép phân tích,,She has a clear analytical mind. an analytic approach to the problem
118,blue-collar,/ˌbluːˈkɑː.lɚ/,connected with people who do physical work in industry,"công nhân cổ xanh, ý chỉ những người làm công việc lao động chân tay",,Blue-collar workers do work needing strength or physical skill rather than office work.
119,conceptual,/kənˈseptʃuəl/,related to or based on ideas,"thuộc quan niệm, thuộc nhận thức",,a conceptual framework within which children’s needs are assessed a conceptual model
120,hypothetical,/ˌhaɪpəˈθetɪkl/,imagined or suggested but not necessarily real or true,"trên giả thuyết, có thể không có thật",,"This is all very hypothetical but supposing Jackie got the job, how would that affect you? I wasn't asking about anybody in particular—it was a purely hypothetical question."
121,indicative,/ɪnˈdɪkətɪv/,(of something) (formal) showing or suggesting something,"tỏ ra, ra ý, ngụ ý, biểu lộ, biểu thị",,Their failure to act is indicative of their lack of interest. The rise in unemployment is seen as indicative of a new economic recession.
122,a process of trial and error,,,,,a process of tr__l and er___r
123,give yourself something to aim for,,,tự đặt cho mình một mục tiêu để phấn đấu,,
124,make a concerted effort,/kənˈsɜːrtɪd/,"done in a planned and determined way, especially by more than one person, government, country, etc.","có dự tính, có bàn tính, có phối hợp",,
125,billboard,&nbsp;/ˈbɪlbɔːrd/&nbsp;,"a large board on the outside of a building or at the side of the road, used for putting advertisements on","bảng quảng cáo, panô quảng cáo",,"The company advertises on TV, the Internet, and billboards, so you sell more."
126,branding,/ˈbrændɪŋ/,the activity of giving a particular name and image to goods and services so that people will be attracted to them and want to buy them,hoạt động tạo thương hiệu cho một sản phẩm,,The successful branding and marketing of the new beer has already boosted sales and increased profits. This marketing campaign is the most remarkable branding exercise of all time.
127,distributor,&nbsp;/dɪˈstrɪbjətər/,"a person or company that supplies goods to shops/stores, etc.",nhà phân phối sản phẩm,,Japan’s largest software distributor
128,flyer,&nbsp;/ˈflaɪər/,a small sheet of paper that advertises a product or an event and is given to a large number of people,"tờ rơi, tờ bướm quảng cáo",,to hand out flyers for a new club
129,gimmick,&nbsp;/ˈɡɪmɪk/,an unusual trick or unnecessary device that is intended to attract attention or to persuade people to buy something,"chiêu trò, mánh lới tiếp thị",,a promotional/publicity/sales gimmick We don’t use gimmicks to sell our products. The promise of lower taxation may have been just an election gimmick to gain votes.
130,jingle,/ˈdʒɪŋɡl/,a short song or tune that is easy to remember and is used in advertising on radio or television,"bài nhạc vui nhộn, dễ nhớ dùng trong quảng cáo",,Chúng tôi là những con bò vui nhộn. Chúng tôi là những con bò hạnh phúc (Đã có sữa tươi Vinamikl nguyên chất một trăm phần trăm) [sound:Những con bò vui nhộn Vinamilk Lyric Loi bai hat _ hXmVUEOr-L.mp3]
131,manufacturer,/ˌmænjuˈfæktʃərər/,a person or company that produces goods in large quantities,"nhà sản xuất, đơn vị sản xuất",,a car/computer manufacturer Always follow the manufacturer's instructions. Faulty goods should be returned to the manufacturers.
132,marketing,/ˈmɑːrkɪtɪŋ/,"the activity of presenting, advertising and selling a company’s products or services in the best possible way",sự tiếp thị,,a marketing campaign She works in sales and marketing. Persuasion is one of the most valuable skills in marketing.
133,online retailer,,,nhà bán lẻ qua mạng,,
134,ploy,/plɔɪ/,words or actions that are carefully planned to get an advantage over somebody else,"mánh khóe, thủ đoạn",,It was all a ploy to distract attention from his real aims.
135,rebate,/ˈriːbeɪt/,"an amount of money that is returned to you, especially by the government, for example when you have paid too much tax","tiền bồi hoàn, tiền trả (sau thuế)",,She’s claiming a 100% tax rebate. The maximum cash rebate available is about $4 800. rebates on the new council tax You may be entitled to a rebate on your car insurance.
136,vendor,&nbsp;/ˈvendər/<!--EndFragment-->,a person who sells things,"người bán hàng, thường là trên đường phố",,street vendors software vendors
137,catchy,&nbsp;/ˈkætʃi/,(of music or the words of an advertisement) pleasing and easily remembered,"dễ nhớ, dễ thuộc (bài hát... )",,a catchy tune/slogan a song with catchy lyrics a catchy name/slogan
138,compelling,/kəmˈpelɪŋ/,so strong that you must do something about it,"hấp dẫn, thuyết phục",,compelling evidence It's a fairly compelling argument for going.
139,distracting,&nbsp;/dɪˈstræktɪŋ/,taking your attention away from what you are trying to do,làm mất tập trung,,distracting thoughts a distracting noise
140,disturbing,&nbsp;/dɪˈstɜːrbɪŋ/,making you feel anxious and upset or shocked,"tạo cảm giác lo lắng, sợ hãi, hoặc sốc",,a disturbing piece of news a profoundly disturbing experience
141,infuriating,&nbsp;/ɪnˈfjʊrieɪtɪŋ/,making you extremely angry,"làm điên tiết, chọc điên tiết",,"It's infuriating when people keep spelling your name wrong, isn't it? It is infuriating to talk to someone who just looks out of the window."
142,invasive,&nbsp;/ɪnˈveɪsɪv/,moving into all areas of something and difficult to stop,"có tính xâm lược, xâm chiếm, xâm lấn",,an invasive disease They treated the cancer with non-invasive methods/surgery (= not cutting into the body).
143,irritating,/ˈɪrɪteɪtɪŋ/,"annoying, especially because of something somebody continuously does or something that continuously happens","làm phát cáu, chọc tức",,I found her extremely irritating. an irritating habit
144,monetary,/ˈmʌnɪteri/,relating to the money in a country,liên quan đến tiền bạc,,monetary policy monetary control The monetary unit of the UK is the pound.
145,persuasive,/pərˈsweɪsɪv/,able to persuade somebody to do or believe something,"có tài thuyết phục, có sức thuyết phục, khiến tin theo, khiến nghe theo",,persuasive arguments He can be very persuasive. the persuasive power of advertising
146,promotional,/prəˈmoʊʃənl/,connected with advertising,liên quan đến quảng cáo (để bán hàng),,promotional material
147,repetitive,&nbsp;/rɪˈpetətɪv/,repeated many times,lặp đi lặp lại nhiều lần,,a repetitive job/task
